Date,Open,High,Low,Close,Parsed_Date,Day
03-31-2025,"19,319.80","19,489.80","18,976.80","19,439.50",2025-03-31 00:00:00,Monday
03-28-2025,"19,995.30","20,011.80","19,357.50","19,457.00",2025-03-28 00:00:00,Friday
03-27-2025,"20,046.00","20,199.50","19,937.30","19,990.30",2025-03-27 00:00:00,Thursday
03-26-2025,"20,511.50","20,536.80","20,045.00","20,116.50",2025-03-26 00:00:00,Wednesday
03-25-2025,"20,353.00","20,524.80","20,293.00","20,488.50",2025-03-25 00:00:00,Tuesday
03-24-2025,"20,050.50","20,409.50","20,050.50","20,374.30",2025-03-24 00:00:00,Monday
03-21-2025,"19,898.50","19,977.50","19,602.30","19,961.00",2025-03-21 00:00:00,Friday
03-20-2025,"19,949.80","20,105.00","19,735.30","19,879.30",2025-03-20 00:00:00,Thursday
03-19-2025,"19,704.80","20,143.00","19,660.00","19,951.00",2025-03-19 00:00:00,Wednesday
03-18-2025,"20,041.00","20,066.50","19,604.30","19,701.80",2025-03-18 00:00:00,Tuesday
03-17-2025,"19,885.50","20,167.80","19,757.00","20,038.30",2025-03-17 00:00:00,Monday
03-14-2025,"19,505.80","19,949.50","19,501.80","19,919.50",2025-03-14 00:00:00,Friday
03-13-2025,"19,787.30","19,901.50","19,372.50","19,453.80",2025-03-13 00:00:00,Thursday
03-12-2025,"19,412.80","19,788.80","19,387.00","19,618.50",2025-03-12 00:00:00,Wednesday
03-11-2025,"19,440.00","19,686.80","19,139.30","19,399.00",2025-03-11 00:00:00,Tuesday
03-10-2025,"20,147.00","20,156.50","19,272.30","19,452.80",2025-03-10 00:00:00,Monday
03-07-2025,"20,214.50","20,286.30","19,765.50","20,229.80",2025-03-07 00:00:00,Friday
03-06-2025,"20,605.30","20,647.50","20,003.00","20,089.30",2025-03-06 00:00:00,Thursday
03-05-2025,"20,555.00","20,725.00","20,215.00","20,665.00",2025-03-05 00:00:00,Wednesday
03-04-2025,"20,527.00","20,732.50","20,075.30","20,399.00",2025-03-04 00:00:00,Tuesday
